# Expression Atlas
# Query: Genes matching: 'default query', specifically up/down differentially expressed in 6 comparisons  given the adjusted p-value cutoff 1 and log2-fold change cutoff 0 in experiment E-GEOD-22966
# Timestamp: Mon, 28-Jan-2019 15:44:11
Gene ID	Gene Name	Design Element	'split root system, one side' vs 'control root system, both sides' in '5 millimolar; potassium chloride' at '2 hour'.foldChange	'split root system, one side' vs 'control root system, both sides' in '5 millimolar; potassium chloride' at '2 hour'.pValue	'split root system, one side' vs 'control root system, both sides' in '5 millimolar; potassium chloride' at '2 hour'.tStat	'split root system, one side' vs 'control root system, both sides' in '5 millimolar; potassium chloride' at '48 hour'.foldChange	'split root system, one side' vs 'control root system, both sides' in '5 millimolar; potassium chloride' at '48 hour'.pValue	'split root system, one side' vs 'control root system, both sides' in '5 millimolar; potassium chloride' at '48 hour'.tStat	'split root system, one side' vs 'control root system, both sides' in '5 millimolar; potassium chloride' at '8 hour'.foldChange	'split root system, one side' vs 'control root system, both sides' in '5 millimolar; potassium chloride' at '8 hour'.pValue	'split root system, one side' vs 'control root system, both sides' in '5 millimolar; potassium chloride' at '8 hour'.tStat	'split root system, one side' vs 'control root system, both sides' in '5 millimolar; potassium nitrate' at '2 hour'.foldChange	'split root system, one side' vs 'control root system, both sides' in '5 millimolar; potassium nitrate' at '2 hour'.pValue	'split root system, one side' vs 'control root system, both sides' in '5 millimolar; potassium nitrate' at '2 hour'.tStat	'split root system, one side' vs 'control root system, both sides' in '5 millimolar; potassium nitrate' at '48 hour'.foldChange	'split root system, one side' vs 'control root system, both sides' in '5 millimolar; potassium nitrate' at '48 hour'.pValue	'split root system, one side' vs 'control root system, both sides' in '5 millimolar; potassium nitrate' at '48 hour'.tStat	'split root system, one side' vs 'control root system, both sides' in '5 millimolar; potassium nitrate' at '8 hour'.foldChange	'split root system, one side' vs 'control root system, both sides' in '5 millimolar; potassium nitrate' at '8 hour'.pValue	'split root system, one side' vs 'control root system, both sides' in '5 millimolar; potassium nitrate' at '8 hour'.tStat
AT1G03020	GRXS1	263168_at							0.1	0.999896457276583	1.11057352515993									
AT1G03030	AT1G03030	263167_at							-0.1	0.999896457276583	-1.79062854519169	0.1	0.999983176775512	0.780670195630583						
AT1G03040	AT1G03040	263117_at							-0.1	0.999896457276583	-1.22059174649439	0.1	0.999983176775512	0.602648570352585						
AT1G03055	D27	263115_at							0.1	0.999896457276583	0.976979351533592	-0.1	0.999983176775512	-1.12882401697736						
AT1G03060	SPI	263165_at				-0.2	0.554961865468734	-0.864561189549177	-0.2	0.999896457276583	-2.17475248487524	0.2	0.999983176775512	1.25383392603215						
AT1G03070	LFG4	263164_at										-0.1	0.999983176775512	-0.407664248041141						
AT1G03080	NET1D	263112_at				-0.4	0.0432729279779289	-3.37315670240852	-0.2	0.999896457276583	-1.89636882144024	0.3	0.999983176775512	1.77455513219236						
AT1G03090	MCCA	263118_at							0.1	0.999896457276583	0.231991223770271	0.4	0.999983176775512	1.25636239644622				-0.4	0.221046069998698	-2.45199310846509
AT1G03100	AT1G03100	263143_at							0.1	0.999896457276583	0.854413668585446	-0.1	0.999983176775512	-0.440859465139182						
AT1G03110	TRM82	263119_at							-0.1	0.999896457276583	-1.67202227572461									
AT1G03130	PSAD2	263114_at							-0.1	0.999896457276583	-0.350216159388051									
AT1G03160	FZL	263163_at							-0.3	0.999896457276583	-2.86648523190153	0.2	0.999983176775512	0.902764938222322						
AT1G03170	FAF2	264363_at							0.1	0.999896457276583	1.22997775092253	-0.2	0.999983176775512	-1.6505683454444						
AT1G03180	AT1G03180	264358_at							-0.1	0.999896457276583	-0.567170834075898	-0.1	0.999983176775512	-0.764998512504818						
AT1G03190	XPD	264356_at										0.1	0.999983176775512	0.593870984140694						
AT1G03210	AT1G03210	264355_at										0.1	0.999983176775512	1.0696944985607						
AT1G03250	AT1G03250	264366_at	0.3	0.365228699790924	2.07279302937058				-0.1	0.999896457276583	-0.729166175078712	-0.2	0.999983176775512	-1.16201186602091						
AT1G03260	AT1G03260	264353_at							-0.1	0.999896457276583	-0.843886821341824									
AT1G03270	CBSDUF4	264352_at													-0.2	0.466636297043164	-1.52940330954252			
AT1G03290	AT1G03290	264362_at										0.2	0.999983176775512	1.2662806086042						
AT1G03310	ISA2	264360_at							0.2	0.999896457276583	1.35516512624074	0.3	0.999983176775512	2.53642142088698						
AT1G03320	AT1G03320	264359_at							0.1	0.999896457276583	0.790378684787918	-0.1	0.999983176775512	-0.957875735404875						
AT1G03330	LSM2	264364_at							0.1	0.999896457276583	1.14367551252863									
AT1G03350	AT1G03350	264367_at							0.1	0.999896457276583	0.713166540444815									
AT1G03360	RRP4	264357_at	0.3	0.582843595198112	1.36441847679854															
